,addr_pct_cd,boro_nm,cmplnt_fr_dt,cmplnt_fr_tm,cmplnt_num,cmplnt_to_dt,cmplnt_to_tm,crm_atpt_cptd_cd,hadevelopt,housing_psa,juris_desc,jurisdiction_code,ky_cd,lat_lon.latitude,lat_lon.longitude,latitude,law_cat_cd,loc_of_occur_desc,longitude,ofns_desc,parks_nm,patrol_boro,pd_cd,pd_desc,prem_typ_desc,rpt_dt,station_name,susp_age_group,susp_race,susp_sex,transit_district,vic_age_group,vic_race,vic_sex,x_coord_cd,y_coord_cd
21,20,MANHATTAN,2018-01-01T00:00:00.000,03:00:00,919744405,,,COMPLETED,,,N.Y. POLICE DEPT,0.0,578,40.784863711,-73.97336635,40.78486371100007,VIOLATION,INSIDE,-73.97336634999994,HARRASSMENT 2,,PATROL BORO MAN NORTH,638.0,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,2018-01-01T00:00:00.000,,UNKNOWN,UNKNOWN,U,,25-44,WHITE,F,991626.0,225222.0
22,90,BROOKLYN,2018-01-01T00:00:00.000,00:01:00,826342780,2018-09-01T00:00:00.000,23:59:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,351,40.704028313,-73.949511661,40.70402831300004,MISDEMEANOR,REAR OF,-73.94951166099996,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BKLYN NORTH,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",RESIDENCE - APT. HOUSE,2018-09-13T00:00:00.000,,,,,,UNKNOWN,UNKNOWN,D,998249.0,195774.0
23,62,BROOKLYN,2018-01-01T00:00:00.000,20:30:00,943273759,,,COMPLETED,,,N.Y. POLICE DEPT,0.0,348,40.609577716,-74.0026666,40.60957771600005,MISDEMEANOR,,-74.00266659999993,VEHICLE AND TRAFFIC LAWS,,PATROL BORO BKLYN SOUTH,916.0,LEAVING SCENE-ACCIDENT-PERSONA,STREET,2018-01-02T00:00:00.000,,,,,,25-44,WHITE,F,983510.0,161359.0
24,121,STATEN ISLAND,2018-01-01T00:00:00.000,08:00:00,346475557,2018-10-03T00:00:00.000,23:00:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,233,40.623688822,-74.15065813300001,40.62368882200008,MISDEMEANOR,,-74.15065813299998,SEX CRIMES,,PATROL BORO STATEN ISLAND,170.0,"SEXUAL MISCONDUCT,INTERCOURSE",STREET,2018-10-05T00:00:00.000,,25-44,WHITE,M,,25-44,WHITE,F,942428.0,166536.0
25,79,BROOKLYN,2018-01-01T00:00:00.000,22:10:00,776619540,2018-01-01T00:00:00.000,22:25:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,348,40.698228791999995,-73.943951443,40.69822879200007,MISDEMEANOR,,-73.94395144299993,VEHICLE AND TRAFFIC LAWS,,PATROL BORO BKLYN NORTH,922.0,"TRAFFIC,UNCLASSIFIED MISDEMEAN",STREET,2018-01-01T00:00:00.000,,25-44,BLACK HISPANIC,M,,UNKNOWN,UNKNOWN,E,999792.0,193662.0
26,84,BROOKLYN,2018-01-01T00:00:00.000,11:00:00,368643147,2018-01-01T00:00:00.000,11:30:00,ATTEMPTED,,,N.Y. POLICE DEPT,0.0,341,40.691011529,-73.983457271,40.691011529000036,MISDEMEANOR,INSIDE,-73.98345727099995,PETIT LARCENY,,PATROL BORO BKLYN NORTH,333.0,"LARCENY,PETIT FROM STORE-SHOPL",DEPARTMENT STORE,2018-01-01T00:00:00.000,,18-24,BLACK,M,,UNKNOWN,UNKNOWN,D,988838.0,191028.0
27,73,BROOKLYN,2018-01-01T00:00:00.000,06:30:00,237581585,2018-01-01T00:00:00.000,06:45:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,344,40.664306311,-73.913276609,40.66430631100008,MISDEMEANOR,INSIDE,-73.913276609,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO BKLYN NORTH,101.0,ASSAULT 3,RESIDENCE - APT. HOUSE,2018-01-01T00:00:00.000,,25-44,BLACK,M,,UNKNOWN,UNKNOWN,F,1008310.0,181310.0
28,42,BRONX,2018-01-01T00:00:00.000,23:45:00,471090320,2018-01-01T00:00:00.000,23:58:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,106,40.828349834,-73.894468194,40.82834983400005,FELONY,INSIDE,-73.89446819399996,FELONY ASSAULT,,PATROL BORO BRONX,109.0,"ASSAULT 2,1,UNCLASSIFIED",RESIDENCE - APT. HOUSE,2018-01-02T00:00:00.000,,25-44,WHITE HISPANIC,M,,<18,WHITE HISPANIC,F,1013456.0,241082.0
29,28,MANHATTAN,2018-01-01T00:00:00.000,17:06:00,869727198,2018-01-01T00:00:00.000,17:07:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,109,40.809596838000004,-73.949785598,40.80959683800006,FELONY,INSIDE,-73.94978559799995,GRAND LARCENY,,PATROL BORO MAN NORTH,433.0,"LARCENY,GRAND FROM STORE-SHOPL",DEPARTMENT STORE,2018-01-05T00:00:00.000,,UNKNOWN,BLACK,M,,UNKNOWN,UNKNOWN,D,998151.0,234236.0
30,104,QUEENS,2018-01-01T00:00:00.000,00:01:00,930946978,2018-06-08T00:00:00.000,23:59:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,351,40.704210357,-73.882874462,40.70421035700008,MISDEMEANOR,,-73.88287446199999,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO QUEENS NORTH,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",STREET,2018-06-09T00:00:00.000,,,,,,UNKNOWN,UNKNOWN,E,1016725.0,195858.0
